States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
                                                Lagos                                            ,"57,594                                            ",165                                            ,"56,990                                            ",439                                            
                                                FCT                                            ,"19,617                                            ","2,397                                            ","17,064                                            ",156                                            
                                                Plateau                                            ,"9,024                                            ",36                                            ,"8,931                                            ",57                                            
                                                Kaduna                                            ,"8,921                                            ",48                                            ,"8,808                                            ",65                                            
                                                Rivers                                            ,"6,909                                            ",34                                            ,"6,775                                            ",100                                            
                                                Oyo                                            ,"6,838                                            ",494                                            ,"6,221                                            ",123                                            
                                                Edo                                            ,"4,875                                            ",13                                            ,"4,677                                            ",185                                            
                                                Ogun                                            ,"4,617                                            ",105                                            ,"4,463                                            ",49                                            
                                                Kano                                            ,"3,908                                            ",31                                            ,"3,767                                            ",110                                            
                                                Ondo                                            ,"3,172                                            ","1,029                                            ","2,080                                            ",63                                            
                                                Kwara                                            ,"3,083                                            ",214                                            ,"2,814                                            ",55                                            
                                                Delta                                            ,"2,599                                            ",784                                            ,"1,744                                            ",71                                            
                                                Osun                                            ,"2,527                                            ",26                                            ,"2,449                                            ",52                                            
                                                Nasarawa                                            ,"2,325                                            ","1,939                                            ",373                                            ,13                                            
                                                Enugu                                            ,"2,237                                            ",285                                            ,"1,923                                            ",29                                            
                                                Katsina                                            ,"2,083                                            ",19                                            ,"2,030                                            ",34                                            
                                                Gombe                                            ,"2,030                                            ",3                                            ,"1,983                                            ",44                                            
                                                Ebonyi                                            ,"2,007                                            ",24                                            ,"1,951                                            ",32                                            
                                                Anambra                                            ,"1,909                                            ",64                                            ,"1,826                                            ",19                                            
                                                Akwa Ibom                                            ,"1,765                                            ",290                                            ,"1,461                                            ",14                                            
                                                Abia                                            ,"1,665                                            ",1                                            ,"1,643                                            ",21                                            
                                                Imo                                            ,"1,642                                            ",70                                            ,"1,535                                            ",37                                            
                                                Bauchi                                            ,"1,521                                            ",3                                            ,"1,501                                            ",17                                            
                                                Borno                                            ,"1,327                                            ",89                                            ,"1,200                                            ",38                                            
                                                Benue                                            ,"1,188                                            ",575                                            ,591                                            ,22                                            
                                                Adamawa                                            ,"1,051                                            ",745                                            ,274                                            ,32                                            
                                                Niger                                            ,930                                            ,496                                            ,417                                            ,17                                            
                                                Taraba                                            ,910                                            ,24                                            ,864                                            ,22                                            
                                                Ekiti                                            ,865                                            ,18                                            ,836                                            ,11                                            
                                                Bayelsa                                            ,852                                            ,22                                            ,804                                            ,26                                            
                                                Sokoto                                            ,774                                            ,1                                            ,745                                            ,28                                            
                                                Jigawa                                            ,518                                            ,17                                            ,485                                            ,16                                            
                                                Kebbi                                            ,442                                            ,34                                            ,392                                            ,16                                            
                                                Cross River                                            ,366                                            ,8                                            ,341                                            ,17                                            
                                                Yobe                                            ,313                                            ,20                                            ,284                                            ,9                                            
                                                Zamfara                                            ,232                                            ,3                                            ,221                                            ,8                                            
                                                Kogi                                            ,5                                            ,0                                            ,3                                            ,2                                            
